id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_km,pickup_hour
id3185270,1,2016-06-18 00:07:04,2016-06-18 00:32:29,1,-73.78229522705078,40.64446258544922,-73.91885375976561,40.746776580810554,N,1525,16.239199594674634,0
id2576766,1,2016-06-03 00:23:46,2016-06-03 00:26:48,1,-73.98855590820312,40.759239196777344,-73.98934173583984,40.76832580566406,N,182,1.010822924842371,0
id3884599,2,2016-03-20 00:55:40,2016-03-20 01:16:02,5,-73.95535278320312,40.76848983764648,-73.9994125366211,40.728759765625,N,1222,5.785676462757614,0
id2036663,2,2016-03-25 00:57:38,2016-03-25 01:03:17,1,-73.98316955566406,40.7681999206543,-73.9886703491211,40.77497863769531,N,339,0.8858790231899109,0
id0355898,2,2016-05-26 00:47:45,2016-05-26 00:54:57,1,-73.94568634033203,40.78162384033203,-73.94800567626953,40.80387878417969,N,432,2.478152856431666,0
id2576592,1,2016-05-25 00:17:12,2016-05-25 00:31:56,1,-73.98782348632812,40.74837112426758,-73.94969177246092,40.77025985717773,N,884,4.050746277707929,0
id0151378,1,2016-02-12 00:16:24,2016-02-12 00:24:29,2,-73.9783706665039,40.762821197509766,-73.9727783203125,40.75315856933594,N,485,1.173168480985614,0
id2695784,1,2016-05-28 00:27:44,2016-05-28 00:33:56,1,-73.98887634277344,40.72311019897461,-74.00511932373048,40.71913909912109,N,372,1.4493106708083003,0
id3530653,2,2016-05-23 00:19:33,2016-05-23 00:23:53,1,-73.96726989746092,40.760704040527344,-73.94911193847656,40.78240966796875,N,260,2.861295275378931,0
id2777527,2,2016-06-25 00:44:59,2016-06-25 00:51:41,1,-73.98269653320312,40.767723083496094,-73.97505187988281,40.7851448059082,N,402,2.040063710658568,0
id0154486,1,2016-02-06 00:29:46,2016-02-06 00:45:36,1,-73.97058868408203,40.75771331787109,-74.00527954101561,40.715526580810554,N,950,5.533796722026222,0
id2612942,2,2016-05-01 00:59:51,2016-05-01 01:05:19,3,-74.00062561035155,40.7183837890625,-74.00901794433594,40.70398712158203,N,328,1.7500188836778543,0
id3063474,2,2016-04-08 00:06:37,2016-04-08 00:39:59,1,-73.79016876220702,40.64398956298828,-73.91240692138672,40.836231231689446,N,2002,23.733997190462937,0
id0575737,1,2016-01-16 00:08:56,2016-01-16 00:18:04,3,-73.99775695800781,40.718067169189446,-73.98879241943358,40.73102188110352,N,548,1.6273870899200227,0
id0878098,2,2016-01-29 00:06:34,2016-01-29 00:20:43,1,-73.98597717285155,40.74107360839844,-73.97496795654298,40.78290557861328,N,849,4.736705356954048,0
id2081023,1,2016-01-16 00:03:25,2016-01-16 00:19:16,1,-73.9858169555664,40.75862884521485,-73.95903778076173,40.81183242797852,N,951,6.329084168046246,0
id0855066,2,2016-03-22 00:07:04,2016-03-22 00:26:46,1,-73.87117004394531,40.77381896972656,-73.92093658447266,40.70847702026367,N,1182,8.396403737213822,0
id3049978,1,2016-04-30 00:26:22,2016-04-30 00:38:51,1,-73.99275970458984,40.715229034423835,-73.97660064697266,40.74663925170898,N,749,3.7473293248975303,0
id0164730,1,2016-05-17 00:12:30,2016-05-17 00:30:43,1,-73.97950744628906,40.77611541748047,-73.9374008178711,40.821094512939446,N,1093,6.143007771454187,0
id2554611,1,2016-06-11 00:00:47,2016-06-11 00:03:03,1,-73.98236083984375,40.662212371826165,-73.99232482910156,40.666160583496094,N,136,0.9536090342115879,0
id3971095,1,2016-03-24 01:26:43,2016-03-24 01:28:35,1,-73.9904556274414,40.728828430175774,-73.98511505126953,40.73612976074219,N,112,0.928921489917345,1
id3805043,2,2016-02-28 01:04:03,2016-02-28 01:10:59,1,-73.97816467285155,40.76358413696289,-73.95516967773438,40.77776336669922,N,416,2.509483155473704,1
id3697558,1,2016-01-17 01:39:38,2016-01-17 01:45:54,2,-73.97626495361328,40.7589111328125,-73.99214935302734,40.748241424560554,N,376,1.7960025847359078,1
id0384515,2,2016-02-15 01:41:37,2016-02-15 02:00:15,2,-73.98507690429686,40.72795104980469,-73.905517578125,40.73884963989258,N,1118,6.8698954458821575,1
id2894623,2,2016-03-13 01:06:51,2016-03-13 01:12:24,1,-73.98779296875,40.75954818725586,-73.97022247314453,40.753028869628906,N,333,1.659572156283292,1
id0520453,1,2016-03-03 01:13:26,2016-03-03 01:19:57,1,-73.975341796875,40.75860977172852,-73.95143127441406,40.7792854309082,N,391,3.0655576376776166,1
id0077106,2,2016-02-10 01:06:49,2016-02-10 01:19:16,1,-73.94744873046875,40.81042098999024,-73.93180084228516,40.854995727539055,N,747,5.123453081064569,1
id3202014,2,2016-04-23 01:18:46,2016-04-23 01:35:40,3,-74.00371551513672,40.74212265014648,-73.98773193359375,40.721527099609375,N,1014,2.659339606891369,1
id3106806,2,2016-02-02 01:16:53,2016-02-02 01:18:01,2,-73.97371673583984,40.74792098999024,-73.97559356689453,40.7453498840332,N,68,0.3269542065027473,1
id2215828,1,2016-01-16 01:26:29,2016-01-16 01:32:46,1,-73.98438262939453,40.76012420654297,-73.9955825805664,40.76375961303711,N,377,1.0339887117886617,1
id3938544,1,2016-03-13 01:40:02,2016-03-13 01:44:21,1,-73.96128845214845,40.76088333129882,-73.97470092773438,40.74887466430664,N,259,1.7540027257596613,1
id3801991,2,2016-01-15 01:49:12,2016-01-15 01:59:29,6,-73.97404479980467,40.76401138305664,-74.0067138671875,40.73580551147461,N,617,4.18488275707108,1
id2877582,2,2016-01-14 01:23:18,2016-01-14 01:29:29,1,-73.96321868896483,40.77463912963867,-73.94745635986328,40.77560043334961,N,371,1.3440403660947156,1
id3986014,2,2016-02-04 01:17:30,2016-02-04 01:26:47,2,-74.00246429443358,40.73974609375,-73.98441314697266,40.775238037109375,N,557,4.22784998890453,1
id2707697,1,2016-02-06 01:40:08,2016-02-06 01:45:18,1,-73.98094177246092,40.72956848144531,-73.98056030273438,40.7426986694336,N,310,1.4578115120686126,1
id2597761,1,2016-06-25 01:10:25,2016-06-25 01:18:13,1,-73.9875717163086,40.7197380065918,-73.98453521728516,40.73618316650391,N,468,1.8435695176515492,1
